# scripts/wind_driver.py -- APPLIED wind wrench log (world-side disturbance; gt side of the honesty boundary, scoring/audit only)
# world=apriltag entity=x500_mono_cam_0::base_link topic=/world/apriltag/wrench/persistent
# label=gate0 mean_mps=5.0 dir_from_deg=270.0 height_m=6.0 sigma_mps=0.0 tau_s=8.629200809773325 seed=7 rate_hz=20.0
# conditions_provenance=Gate-0 physics probe: synthetic steady wind, NOT a field reading (docs/wind_gate0_prereg.md)
# drag: mass_kg=2.114307692307692 mcoef_per_s=0.15 bcoef=100.0 rho=1.225
# drag_provenance=PX4 defaults + SDF mass, SITL ONLY: EKF2_MCOEF=0.15 1/s and EKF2_BCOEF_X/Y=100 kg/m^2 from src/modules/ekf2/params_drag.yaml; mass 2.114308 kg = x500_base/model.sdf (2.0 + 4*0.016076923) + mono_cam/model.sdf (0.050); rho 1.225 ISA. NOT measured on the real airframe -- do not quote a field number off these.
# columns applied_f_* are what was PUT ON THE WIRE; `published` is whether gz-transport accepted it (ADR-0090 pattern: log what was applied, not what was intended)
t_sim,grid_index,wind_n,wind_e,wind_d,steady_n,steady_e,gust_u,gust_v,v_veh_n,v_veh_e,v_rel_n,v_rel_e,v_rel_mps,a_drag_m_s2,applied_f_n,applied_f_e,applied_f_d,applied_f_world_x,applied_f_world_y,applied_f_world_z,published,publish_error
44.3920,887,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,0.01698,0.01842,-0.01698,4.98158,4.98160,0.89924,-0.00648,1.90126,0.00000,1.90126,-0.00648,-0.00000,1,
44.4440,888,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,0.01774,0.01783,-0.01774,4.98217,4.98221,0.89937,-0.00677,1.90153,0.00000,1.90153,-0.00677,-0.00000,1,
44.4920,889,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,0.01788,0.01729,-0.01788,4.98271,4.98275,0.89948,-0.00682,1.90177,0.00000,1.90177,-0.00682,-0.00000,1,
44.5440,890,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,0.01813,0.01665,-0.01813,4.98335,4.98339,0.89962,-0.00692,1.90206,0.00000,1.90206,-0.00692,-0.00000,1,
44.5920,891,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,0.01828,0.01613,-0.01828,4.98387,4.98390,0.89973,-0.00698,1.90228,0.00000,1.90228,-0.00698,-0.00000,1,
44.6440,892,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,0.01836,0.01549,-0.01836,4.98451,4.98454,0.89986,-0.00701,1.90257,0.00000,1.90257,-0.00701,-0.00000,1,
44.6920,893,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,0.01907,0.01468,-0.01907,4.98532,4.98535,0.90003,-0.00728,1.90293,0.00000,1.90293,-0.00728,-0.00000,1,
44.7440,894,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,0.01951,0.01340,-0.01951,4.98660,4.98664,0.90030,-0.00745,1.90351,0.00000,1.90351,-0.00745,-0.00000,1,
44.7920,895,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,0.02029,0.01217,-0.02029,4.98783,4.98787,0.90056,-0.00774,1.90405,0.00000,1.90405,-0.00774,-0.00000,1,
44.8440,896,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,0.02058,0.01041,-0.02058,4.98959,4.98964,0.90094,-0.00786,1.90484,0.00000,1.90484,-0.00786,-0.00000,1,
